   itrg     id  matchmatchId     dr lep pt trg ptlep etatrg etalep phitrg phi	trigString
      0     11      1      1   0.00  13.88   9.83   0.33   0.33  -1.67  -1.67	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  19.77  14.45  -0.80  -0.80  -2.94  -2.94	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  11.32  12.03  -1.20  -1.20  -2.61  -2.61	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  11.79  11.79   0.10   0.10  -1.20  -1.20	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  11.49  10.85   0.55   0.55   0.08   0.08	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  11.20  11.28   2.50   2.50  -1.09  -1.09	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  10.30  10.24  -0.61  -0.61   2.59   2.59	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  10.83  12.48  -1.14  -1.14  -1.49  -1.49	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  12.56  10.60   0.34   0.34   0.92   0.92	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  10.77  10.01   0.30   0.30  -1.30  -1.30	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.01  35.27  34.87  -1.09  -1.09   1.82   1.83	HLT_Ele8_CaloIdL_TrkIdVL_v2
      1    -11      1      1   0.01  35.27  34.84  -1.09  -1.09   1.82   1.83	HLT_Ele8_CaloIdL_TrkIdVL_v2
      2     11      1      1   0.00  35.27  34.90  -1.09  -1.09   1.82   1.82	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  10.29   9.99  -0.62  -0.62   0.24   0.24	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  11.32  11.14   0.03   0.03  -1.27  -1.27	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  13.18   9.23  -0.85  -0.85   1.28   1.28	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  13.81  13.62   0.11   0.11   0.43   0.43	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  16.44  16.39   0.27   0.28   0.40   0.40	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  13.48  13.44  -0.66  -0.66  -0.50  -0.50	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  22.15  22.00   0.39   0.39  -0.85  -0.85	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  12.86  15.25  -1.40  -1.40   1.30   1.30	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  12.07  11.78  -1.96  -1.96   2.86   2.86	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  16.18  16.18  -2.07  -2.07   1.73   1.73	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  10.15  10.08   1.37   1.37   0.98   0.98	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  14.17  13.99   1.27   1.27  -2.58  -2.58	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.04  26.59  26.25   2.30   2.29  -0.84  -0.80	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.03  19.49  19.33   0.01   0.03  -1.66  -1.63	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  13.15  12.59  -1.41  -1.41  -2.07  -2.07	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  14.79  14.68  -0.68  -0.68   0.67   0.67	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  13.50  13.29   1.40   1.40  -1.83  -1.83	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.03  12.37  12.86  -1.95  -1.95  -1.48  -1.51	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.01  12.31  12.37   2.00   2.00  -0.08  -0.09	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.01  13.94  13.95  -2.37  -2.37  -1.76  -1.76	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  11.93  13.20  -2.37  -2.37  -0.28  -0.28	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  11.79   8.70  -0.90  -0.90  -1.38  -1.38	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  17.71  17.53  -0.93  -0.93  -0.88  -0.88	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  16.95  16.78  -0.94  -0.94  -0.34  -0.34	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  15.15  15.01  -0.17  -0.17   0.55   0.55	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  18.47  18.25  -1.23  -1.23   1.04   1.04	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.20  12.27  12.12  -2.12  -2.13  -1.81  -2.01	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  14.96  11.77   0.48   0.48   1.82   1.82	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  10.77  12.27   1.01   1.01  -1.86  -1.86	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.01  13.94  14.03  -1.58  -1.58   2.29   2.28	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  11.60  11.12  -0.14  -0.14  -2.65  -2.65	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  12.06  10.21   0.83   0.83  -0.74  -0.74	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  12.10   9.81   0.62   0.62  -2.35  -2.35	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  11.08   8.39   0.89   0.89  -0.74  -0.74	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  11.33  11.64  -2.10  -2.10  -0.46  -0.46	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  10.28  10.21   1.30   1.30   0.33   0.33	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  31.39  31.49  -1.54  -1.54  -0.73  -0.73	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.01  13.59  12.81  -1.39  -1.38  -1.02  -1.02	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  11.38  11.04   1.56   1.56   2.23   2.23	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  14.73  14.47  -2.33  -2.33  -0.36  -0.36	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  17.63  14.13  -0.18  -0.19  -0.42  -0.42	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      0      0   2.71  10.25   9.39  -2.33  -2.14  -1.89   0.82	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  10.75  10.44  -0.31  -0.31   1.46   1.46	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  19.96  19.84  -1.27  -1.27   1.58   1.58	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  11.45  12.95  -1.43  -1.43   1.45   1.45	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  14.48  15.57   0.71   0.71  -1.54  -1.54	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.19  10.45  10.37   0.34   0.35   0.80   0.61	HLT_Ele8_CaloIdL_TrkIdVL_v2
      1    -11      1      1   0.00  10.45  10.38   0.34   0.34   0.80   0.80	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  18.36  18.25  -0.28  -0.28   1.14   1.14	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  13.49  14.95  -0.60  -0.60  -2.17  -2.17	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  12.83  11.89   0.95   0.95  -0.83  -0.83	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  14.70  14.45  -0.33  -0.33  -1.15  -1.15	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  28.05  27.76  -0.41  -0.41   2.80   2.80	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      0      0   3.42  11.20  15.95  -1.04   0.83  -2.73   0.14	HLT_Ele8_CaloIdL_TrkIdVL_v2
      1     11      0      0   3.46  11.20  15.92  -1.04   0.83  -2.73   0.18	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.04  16.03  15.95   0.83   0.83   0.18   0.14	HLT_Ele8_CaloIdL_TrkIdVL_v2
      1     11      1      1   0.00  16.03  15.92   0.83   0.83   0.18   0.18	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  11.38   8.40  -0.70  -0.70   1.56   1.56	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.10  12.59  12.46   1.07   1.08  -0.45  -0.55	HLT_Ele8_CaloIdL_TrkIdVL_v2
      1    -11      1      1   0.00  12.59  12.52   1.07   1.07  -0.45  -0.45	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  12.12   8.57   1.52   1.52   2.77   2.77	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  24.35  24.22   0.24   0.24  -0.19  -0.19	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  10.96   8.49  -1.50  -1.50  -3.03  -3.03	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  29.35  29.16   0.51   0.51  -2.71  -2.71	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  12.37  12.16  -1.29  -1.29   2.37   2.37	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  18.79  18.60  -0.47  -0.47   2.89   2.89	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  10.56   8.63  -1.15  -1.15   2.34   2.34	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  10.56   8.15  -0.56  -0.56  -2.95  -2.95	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  20.31  20.16   0.25   0.25  -0.83  -0.83	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  14.78  14.77  -2.29  -2.29   2.82   2.82	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.08  11.42  11.67  -2.42  -2.42  -1.77  -1.85	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  10.77   9.98  -1.48  -1.48  -2.10  -2.10	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  15.93  15.78   0.58   0.58  -3.06  -3.06	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  23.44  33.53   1.75   1.75  -1.08  -1.08	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  10.44  16.63  -1.45  -1.45   0.84   0.84	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.01  25.28  25.25  -1.19  -1.18   0.93   0.94	HLT_Ele8_CaloIdL_TrkIdVL_v2
      1     11      1      1   0.00  25.28  25.15  -1.19  -1.19   0.93   0.93	HLT_Ele8_CaloIdL_TrkIdVL_v2
      2    -11      1      1   0.07  25.28  24.91  -1.19  -1.20   0.93   1.00	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  22.30  22.13  -1.19  -1.19   0.83   0.83	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  23.08  23.24  -2.08  -2.08  -0.52  -0.52	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  11.69  11.47  -0.76  -0.76  -0.65  -0.65	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  11.09  11.07  -0.25  -0.25   0.45   0.45	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.01  25.12  25.39  -2.34  -2.34  -0.73  -0.74	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  10.43   9.97   0.34   0.34  -2.48  -2.48	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  17.22  17.22  -2.38  -2.38   1.78   1.78	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  10.90  10.82   1.18   1.18   1.47   1.47	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  12.53  12.19  -0.87  -0.87   2.63   2.63	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  11.74   9.46  -1.14  -1.14   2.00   2.00	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  16.78  16.44   1.73   1.73   0.07   0.07	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  38.72  37.42  -1.42  -1.42   2.41   2.41	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  12.05  11.98   0.63   0.63   2.96   2.96	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  10.47  10.60   2.28   2.28  -0.09  -0.09	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  16.56  15.87   0.54   0.54   2.50   2.50	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.01  13.32  13.80   0.72   0.72   0.32   0.33	HLT_Ele8_CaloIdL_TrkIdVL_v2
      1     11      1      1   0.00  13.32  13.85   0.72   0.72   0.32   0.32	HLT_Ele8_CaloIdL_TrkIdVL_v2

