   itrg     id  matchmatchId     dr lep pt trg ptlep etatrg etalep phitrg phi	trigString
      0      0      0      0   2.83  17.41  11.97  -2.06  -2.16   0.28  -2.56	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.01  14.78  14.74  -2.29  -2.29   2.82   2.83	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.03  11.42  11.72  -2.42  -2.42  -1.77  -1.74	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.08  10.77  10.31  -1.48  -1.45  -2.10  -2.17	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.10  23.44  34.12   1.75   1.73  -1.08  -1.18	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.11  16.38  16.25  -0.07  -0.06   1.52   1.62	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.05  10.44  16.64  -1.45  -1.45   0.84   0.79	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.03  20.10  22.55   1.91   1.90   2.57   2.54	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.08  10.60  10.33  -2.36  -2.38   0.37   0.29	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.05  23.08  22.30  -2.08  -2.12  -0.52  -0.54	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.11  11.69  10.83  -0.76  -0.85  -0.65  -0.72	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.06  11.09  10.96  -0.25  -0.29   0.45   0.40	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.02  25.12  25.80  -2.34  -2.32  -0.73  -0.72	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.10  10.43  10.03   0.34   0.32  -2.48  -2.39	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.07  10.90  11.09   1.18   1.15   1.47   1.53	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.05  11.40  11.78   2.10   2.08   2.15   2.10	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.06  12.53  12.19  -0.87  -0.87   2.63   2.57	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.03  26.59  25.78  -1.65  -1.67   2.04   2.01	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.07  27.18  27.09  -0.96  -0.95  -2.74  -2.80	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.04  16.78  16.49   1.73   1.73   0.07   0.10	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.05  11.76  12.55   1.57   1.56   1.02   0.98	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.02  38.72  37.80  -1.42  -1.41   2.41   2.43	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.07  16.56  15.46   0.54   0.59   2.50   2.55	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.07  13.32  14.35   0.72   0.66   0.32   0.36	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.03  11.55  13.85   2.40   2.41   1.26   1.28	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.06  14.17  14.32  -2.52  -2.51   1.15   1.20	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.07  13.81  13.56   0.78   0.78   1.03   0.96	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.02  10.45  11.18   2.38   2.39  -1.25  -1.23	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.02  28.49  31.44   2.07   2.09   1.94   1.96	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.04  18.35  19.37  -1.40  -1.41  -1.36  -1.41	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.09  10.01   8.93   0.66   0.61  -0.16  -0.08	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      0      0   2.72  16.45   8.96   0.98   0.48   1.97  -1.64	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.03  21.77  26.22  -1.65  -1.64   2.18   2.15	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.07  12.86  12.62  -0.59  -0.59  -1.54  -1.61	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      0      0   3.60  16.81  43.25  -2.09   0.04  -2.88   0.02	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.10  13.21   9.31   0.17   0.09  -0.61  -0.67	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.05  11.04  10.98  -0.15  -0.16   1.15   1.20	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.06  14.28  14.31  -2.39  -2.39   1.88   1.94	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.09  12.79  12.27  -0.71  -0.78   0.34   0.41	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.01  28.43  30.11  -1.90  -1.90  -2.88  -2.87	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.07  11.80  11.45  -1.45  -1.46   0.34   0.28	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.08  10.39   9.61   1.62   1.64   0.07   0.14	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.02  12.56  12.46   1.46   1.46   2.05   2.03	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      0      0   3.01  12.57  12.46   2.14   1.46  -0.90   2.03	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.07  18.11  11.33  -0.28  -0.22   1.11   1.15	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.14  13.53  13.36  -0.03  -0.01   2.60   2.46	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.06  11.66  12.97  -1.41  -1.41  -1.57  -1.51	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.06  33.60  31.89  -1.24  -1.29   1.75   1.72	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.10  13.32  10.96   0.05  -0.02   0.13   0.20	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.10  13.50  13.04  -2.19  -2.22   0.86   0.95	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.09  10.41   8.38  -1.19  -1.20   2.07   1.98	HLT_Ele8_CaloIdL_CaloIsoVL_v2

