   itrg     id  matchmatchId     dr lep pt trg ptlep etatrg etalep phitrg phi	trigString
      0      0      1      0   0.08  11.52  15.03   2.47   2.45   0.23   0.15	HLT_Ele8_v2

      0      0      1      0   0.02  12.01  11.87  -2.42  -2.43   0.41   0.40	HLT_Ele8_v2

      0      0      1      0   0.06  10.74  10.64   0.19   0.23  -1.06  -1.01	HLT_Ele8_v2

      0      0      0      0   3.62  19.25  14.46   2.51   0.03  -2.58   0.07	HLT_Ele8_v2

      0      0      1      0   0.07  13.47  13.38   2.40   2.43   1.04   0.97	HLT_Ele8_v2

      0      0      1      0   0.15  11.16  11.01   0.30   0.30   2.17   2.31	HLT_Ele8_v2

      0      0      1      0   0.03  11.41  14.98  -2.19  -2.19   0.20   0.23	HLT_Ele8_v2

      0      0      1      0   0.07  12.99  12.33  -1.53  -1.53  -2.10  -2.16	HLT_Ele8_v2

      0      0      1      0   0.03  11.36  11.81   2.16   2.19   1.63   1.65	HLT_Ele8_v2

      0      0      1      0   0.15  10.37  10.40   0.24   0.20   1.52   1.37	HLT_Ele8_v2

      0      0      1      0   0.08  12.27  12.33   0.21   0.17   2.71   2.65	HLT_Ele8_v2

      0      0      1      0   0.00  12.50  16.29  -1.75  -1.74  -2.87  -2.87	HLT_Ele8_v2

      0      0      0      0   2.87  12.94  21.61  -0.03   2.39  -2.28   2.47	HLT_Ele8_v2

      0      0      1      0   0.05  10.77  11.41   1.65   1.64  -2.88  -2.82	HLT_Ele8_v2

      0      0      1      0   0.11  10.55  11.36  -1.26  -1.24   1.91   1.81	HLT_Ele8_v2

      0      0      1      0   0.11  17.37  18.36  -2.06  -2.06  -0.37  -0.48	HLT_Ele8_v2

      0      0      1      0   0.09  15.65  16.75  -2.00  -2.09  -3.01  -2.98	HLT_Ele8_v2

      0      0      1      0   0.09  12.03  12.06   2.19   2.19   0.78   0.87	HLT_Ele8_v2

      0      0      1      0   0.11  12.09  11.94   0.02  -0.01  -2.35  -2.24	HLT_Ele8_v2

      0      0      1      0   0.01  19.35  18.98  -1.15  -1.15  -2.83  -2.84	HLT_Ele8_v2

      0      0      1      0   0.04  10.10   9.90  -0.72  -0.73  -1.83  -1.87	HLT_Ele8_v2

      0      0      1      0   0.11  10.46   8.03  -1.14  -1.11  -1.82  -1.71	HLT_Ele8_v2

      0      0      1      0   0.07  18.69  13.49   0.06   0.01  -2.16  -2.11	HLT_Ele8_v2

      0      0      1      0   0.08  23.84  35.35  -2.52  -2.47  -2.42  -2.36	HLT_Ele8_v2

      0      0      1      0   0.09  10.96  11.17  -0.72  -0.69   0.45   0.37	HLT_Ele8_v2

      0      0      1      0   0.09  13.09  13.04   0.85   0.85  -2.76  -2.68	HLT_Ele8_v2

      0      0      1      0   0.03  16.94  16.85  -0.15  -0.13   2.42   2.44	HLT_Ele8_v2

      0      0      1      0   0.05  17.14  17.24   0.98   0.96   0.62   0.57	HLT_Ele8_v2

      0      0      1      0   0.14  11.92  11.90  -0.62  -0.61  -2.90  -2.76	HLT_Ele8_v2

      0      0      1      0   0.09  12.36   8.65   0.56   0.51  -1.39  -1.47	HLT_Ele8_v2

      0      0      1      0   0.03  11.88  11.69  -2.41  -2.42  -2.74  -2.72	HLT_Ele8_v2

      0      0      1      0   0.02  10.97  11.56  -2.39  -2.40  -2.18  -2.19	HLT_Ele8_v2

      0      0      1      0   0.01  10.95  13.72   1.78   1.79   0.60   0.59	HLT_Ele8_v2

      0      0      1      0   0.09  10.75  11.05   2.02   1.99  -0.69  -0.61	HLT_Ele8_v2

      0      0      1      0   0.26  10.17  22.12   0.26   0.42  -0.80  -1.00	HLT_Ele8_v2
      1      0      1      0   0.06  10.17   9.99   0.26   0.30  -0.80  -0.85	HLT_Ele8_v2
      2      0      1      0   3.06  10.17  11.91   0.26   1.34  -0.80   2.06	HLT_Ele8_v2

      0      0      1      0   0.04  22.63  22.12   0.38   0.42  -1.00  -1.00	HLT_Ele8_v2
      1      0      1      0   0.17  22.63   9.99   0.38   0.30  -1.00  -0.85	HLT_Ele8_v2
      2      0      1      0   3.21  22.63  11.91   0.38   1.34  -1.00   2.06	HLT_Ele8_v2

      0      0      1      0   0.05  17.49  17.92   1.17   1.13   1.28   1.31	HLT_Ele8_v2

      0      0      1      0   0.07  11.18   8.45   1.11   1.09  -0.18  -0.11	HLT_Ele8_v2

      0      0      1      0   0.07  14.58  15.29  -2.29  -2.25   0.02   0.08	HLT_Ele8_v2

      0      0      1      0   0.03  12.66  13.17  -2.17  -2.14  -1.03  -1.01	HLT_Ele8_v2

      0      0      1      0   0.06  10.10  15.18  -1.63  -1.59  -1.75  -1.71	HLT_Ele8_v2

      0      0      1      0   0.01  43.66  43.74  -1.63  -1.63  -2.50  -2.52	HLT_Ele8_v2

      0      0      1      0   0.07  11.95  12.12  -1.46  -1.47   0.09   0.02	HLT_Ele8_v2

      0      0      1      0   0.04  11.14  11.58   1.82   1.82  -0.13  -0.16	HLT_Ele8_v2

      0      0      1      0   0.07  11.11   9.61  -1.38  -1.37   2.31   2.25	HLT_Ele8_v2

      0      0      1      0   0.05  10.93  15.50   2.01   1.98   0.96   0.99	HLT_Ele8_v2

      0      0      1      0   0.04  11.84  11.84  -1.85  -1.84   2.19   2.23	HLT_Ele8_v2

      0      0      1      0   0.08  22.81  13.94   0.39   0.46   0.20   0.16	HLT_Ele8_v2

      0      0      1      0   0.06  13.83   8.00  -0.11  -0.11   1.74   1.79	HLT_Ele8_v2

      0      0      1      0   0.06  20.27  20.63  -1.01  -0.96   1.86   1.82	HLT_Ele8_v2

      0      0      1      0   0.12  10.44  10.58   1.45   1.43  -3.06  -2.94	HLT_Ele8_v2

      0      0      0      0   2.67  13.54  10.58   1.15   1.43   0.69  -2.94	HLT_Ele8_v2

      0      0      1      0   0.07  13.88   9.76   0.33   0.35  -1.67  -1.60	HLT_Ele8_v2

      0      0      1      0   0.08  12.46   9.64   0.76   0.74   1.46   1.39	HLT_Ele8_v2

      0      0      1      0   0.06  17.08  25.35  -2.05  -2.01  -2.84  -2.80	HLT_Ele8_v2

      0      0      1      0   0.04  16.13  15.74   0.85   0.87   0.75   0.79	HLT_Ele8_v2

      0      0      1      0   0.01  34.24  33.93  -0.95  -0.96   0.87   0.86	HLT_Ele8_v2

